id;create_date;rent_price;deposit;floor;area_total;rooms;region;repair_type;agent_fee
284;2021-12-05 21:27:33.092 +0300;60000.00;60000.00;7;35.0;1;1;cosmetic;30
285;2021-12-05 21:25:50.428 +0300;60000.00;60000.00;7;60.0;2;1;cosmetic;40
286;2021-12-05 21:23:09.627 +0300;58000.00;58000.00;6;60.0;2;1;euro;0
287;2021-12-05 21:23:06.929 +0300;39000.00;39000.00;8;38.0;1;1;cosmetic;99
288;2021-12-05 21:23:02.832 +0300;40000.00;40000.00;10;40.0;1;2;design;50
289;2021-12-05 21:22:47.907 +0300;58000.00;58000.00;4;60.0;3;1;cosmetic;100
290;2021-12-05 21:22:25.621 +0300;58000.00;29000.00;4;60.0;2;1;euro;99
291;2021-12-05 21:22:24.924 +0300;58000.00;58000.00;11;40.0;2;1;euro;40
292;2021-12-05 21:21:29.210 +0300;57000.00;57000.00;10;64.0;2;1;euro;60
293;2021-12-05 21:21:23.961 +0300;57000.00;57000.00;9;54.0;2;1;euro;50
294;2021-12-05 21:21:23.121 +0300;57000.00;57000.00;9;55.0;2;1;cosmetic;50
295;2021-12-05 21:20:57.526 +0300;80000.00;80000.00;8;47.0;1;1;euro;50
296;2021-12-05 21:20:31.341 +0300;21000.00;21000.00;1;44.0;1;1;cosmetic;100
